,product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova-group,nutrition-score-fr,fruits-vegetables-nuts-estimate-from-ingredients_100g,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
0,6111035000430,Sidi Ali,maroc.,0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.3333333333333333,Low,Moderate Sugar,Yes
1,6111242100992,perly,perly,97.0,406.0,9.4,4.1,3.0,1.4,8.0,2.4,0.3675,0.147,4.0,7.0,0.0,0.4361702127659574,Low,Low Sugar,Yes
4,6111252421568,اكوافينا,AQUAFINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,4.0,0.0,0.0,0.0,Low,Low Sugar,Yes
5,6111266962187,Lait,Jaouda,45.0,188.0,4.9,0.0,1.5,1.0,3.1,2.4,0.225,0.09,3.0,-3.0,0.0,0.0,Low,Low Sugar,No
6,3274080005003,Eau De Source,Cristaline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,1.0,0.0,0.0,0.0,Low,Low Sugar,No
7,6111246721261,Fromage blanc nature,MILKY FOOD PROFESSIONAL,80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,Low,Low Sugar,No
8,6111242101180,uht jaouda 1L,Jaouda,58.0,242.672,4.8,0.0,3.0,0.0,3.0,2.4,0.0,0.0,1.0,-1.0,0.0,0.0,Low,Low Sugar,No
10,5941143028832,Takis volcano,Takis,517.0,2156.0,53.0,1.8,30.0,13.0,5.5,8.1,1.9,0.76,4.0,20.0,5.95833333333333,0.033962264150943396,High,Low Sugar,Yes
12,4750020050429,Cornetti rigatti,Dobele,234.0,1517.0,71.1,2.2,1.5,0.3,14.5,2.4,10.0,4.0,1.0,-4.0,0.0,0.0309423347398031,Low,Low Sugar,No
13,4000415778507,Crunchy Peanut Butter Chocolate,Schogetten,560.0,2343.04,53.0,52.0,35.0,19.0,7.3,2.4,0.52,0.208,4.0,33.0,2.86458333333334,0.9811320754716981,High,High Sugar,Yes
